series_ticker,tier,engine,family,model_output,current_pricer,notes
KXWCGAMEGOALS,C,sim_aggregate,highest_scoring_match,distribution of max match goals,none,PRICEABLE — aggregate/extreme-value over remaining matches
KXWCGOALLEADER,D,none,player_top_scorer,—,none,OUT OF SCOPE — player-level; no model surface
KXWCGOAL,D,none,player_to_score,—,none,OUT OF SCOPE — player-level
KXWCPLAYERGOALS,D,none,player_goal_count,—,none,OUT OF SCOPE — player-level
KXWCTEAMLEADGOAL,D,none,player_team_top_scorer,—,none,OUT OF SCOPE — player-level
KXWCAWARD,D,none,player_award,—,none,OUT OF SCOPE — awards
KXWCAWARDCOMBO,D,none,player_award_combo,—,none,OUT OF SCOPE — awards
KXWCSOA,D,none,player_score_or_assist,—,none,OUT OF SCOPE — player-level
KXWCAST,D,none,player_assists,—,none,OUT OF SCOPE — player-level
KXWCGOALCOUNT,D,none,player_goal_count,—,none,OUT OF SCOPE — player-level
KXWCGOALCOMBO,D,none,player_goal_combo,—,none,OUT OF SCOPE — player-level
KXWCMESSIRONALDO,D,none,player_novelty,—,none,OUT OF SCOPE — player novelty
KXWCMESSIMBAPPE,D,none,player_novelty,—,none,OUT OF SCOPE — player novelty
KXWCMBAPPEGOALLEADER,D,none,player_novelty,—,none,OUT OF SCOPE — player novelty
KXWCHATTRICK,D,none,player_hattrick,—,none,OUT OF SCOPE — player-level
KXWCGOALSTREAK,D,none,player_streak,—,none,OUT OF SCOPE — player-level
KXWCGBOOTGOALS,D,none,golden_boot_goals,—,none,OUT OF SCOPE — player-level
KXWCGOLDENBOOTCLEAT,D,none,brand_novelty,—,none,OUT OF SCOPE — brand/novelty
KXWCCLUBGOALS,D,none,club_goals_novelty,—,none,OUT OF SCOPE — club-attribution novelty
KXWCGOALIEGOAL,D,none,keeper_scores,—,none,OUT OF SCOPE — novelty
KXWCGOALIEPEN,D,none,keeper_shootout,—,none,OUT OF SCOPE — novelty
KXWCGOALEVERYGAME,D,none,player_every_game,—,none,OUT OF SCOPE — player-level
KXWCRECORD,D,none,goal_record,—,none,OUT OF SCOPE — player record
KXWCOLIMPICO,D,none,olimpico_novelty,—,none,OUT OF SCOPE — novelty
KXWCSTART,D,none,player_starts,—,none,OUT OF SCOPE — lineup/player
KXWCFASTESTGOAL,D,none,fastest_goal,—,none,OUT OF SCOPE — trivia
KXWCWINNERTRAIL,D,none,winner_never_trails,—,none,OUT OF SCOPE — needs in-match trailing dynamics; infeasible
KXWCCORNERS,D,none,corners,—,none,OUT OF SCOPE — corners; goals model has no view
KXWCTCORNERS,D,none,team_corners,—,none,OUT OF SCOPE — corners
KXWORLDCUPHALFTIME,D,none,halftime_show,—,none,OUT OF SCOPE — off-field entertainment
KXWCFIRSTSONG,D,none,halftime_song,—,none,OUT OF SCOPE — off-field entertainment
KXTRUMPATTEND,D,none,off_field_novelty,—,none,OUT OF SCOPE — off-field
KXTRUMPWORLDCUP,D,none,off_field_novelty,—,none,OUT OF SCOPE — off-field
KXLATENIGHTMENTION,D,none,off_field_novelty,—,none,OUT OF SCOPE — off-field media
KXWCPRICE,D,none,ticket_price,—,none,OUT OF SCOPE — secondary-ticket resale price
KXWCHOST,D,none,future_host,—,none,OUT OF SCOPE — 2038 host announcement
KXWCLONGESTPEN,D,none,longest_shootout,—,none,OUT OF SCOPE — trivia
KXWT20WORLDCUP,X,none,other_tournament,—,none,EXCLUDE — Women's T20 cricket; not men's soccer WC
KXT20WORLDCUP,X,none,other_tournament,—,none,EXCLUDE — T20 cricket; not men's soccer WC
KXMWORLDCUP,X,none,other_tournament,—,none,EXCLUDE — not the 2026 men's soccer WC series
